Year,Age,Total,Male,Female
2017,Total,13026129,6606215,6419914
2017,0-4,2096589,1069131,1027458
2017,5-9,1939619,988656,950963
2017,10-14,1742891,889490,853401
2017,15-19,1484065,766521,717544
2017,20-24,1193957,636225,557732
2017,25-29,964916,494804,470112
2017,30-34,812575,396647,415928
2017,35-39,689838,312791,377047
2017,40-44,570706,261992,308714
2017,45-49,458544,223673,234871
2017,50-54,356405,179573,176832
2017,55-59,259208,136957,122251
2017,60-64,182642,98589,84053
2017,65-69,115224,63034,52190
2017,70-74,75445,41967,33478
2017,75-79,46287,26025,20262
2017,80-84,25374,14063,11311
2017,85-89,9390,4899,4491
2017,90-94,2161,1048,1113
2017,95-99,274,122,152
2017,100+,19,8,11
