audiocs:0:audiocs:class	controller
audiocs:0:audiocs:crtime	116.0824768
audiocs:0:audiocs:hard	0
audiocs:0:audiocs:multiple_service	0
audiocs:0:audiocs:snaptime	8464512.3536208
audiocs:0:audiocs:soft	0
audiocs:0:audiocs:spurious	0
audiocs:0:audiocs:watchdog	0
caps:0:lockedmem_project_0:class	project_caps
caps:0:lockedmem_project_0:crtime	69.262928
caps:0:lockedmem_project_0:snaptime	8464512.3543884
caps:0:lockedmem_project_0:usage	2490368
caps:0:lockedmem_project_0:value	18446744073709551615
caps:0:lockedmem_project_0:zonename	global
caps:0:lockedmem_project_3:class	project_caps
caps:0:lockedmem_project_3:crtime	7700910.4664434
caps:0:lockedmem_project_3:snaptime	8464512.3547684
caps:0:lockedmem_project_3:usage	0
caps:0:lockedmem_project_3:value	18446744073709551615
caps:0:lockedmem_project_3:zonename	global
caps:0:lockedmem_zone_0:class	zone_caps
caps:0:lockedmem_zone_0:crtime	69.2630424
caps:0:lockedmem_zone_0:snaptime	8464512.355134
caps:0:lockedmem_zone_0:usage	2490368
caps:0:lockedmem_zone_0:value	18446744073709551615
caps:0:lockedmem_zone_0:zonename	global
caps:0:swapresv_zone_0:class	zone_caps
caps:0:swapresv_zone_0:crtime	69.263055
caps:0:swapresv_zone_0:snaptime	8464512.3555954
caps:0:swapresv_zone_0:usage	79896576
caps:0:swapresv_zone_0:value	18446744073709551615
caps:0:swapresv_zone_0:zonename	global
conskbd:0:activity:class	misc
conskbd:0:activity:crtime	84.4719678
conskbd:0:activity:idle_sec	140742
conskbd:0:activity:snaptime	8464512.3560052
consms:0:activity:class	misc
consms:0:activity:crtime	84.4775058
consms:0:activity:idle_sec	140746
consms:0:activity:snaptime	8464512.356315
cpu:0:intrstat:class	misc
cpu:0:intrstat:crtime	82.766642
cpu:0:intrstat:level-1-count	1054632106
cpu:0:intrstat:level-1-time	6127438052090
cpu:0:intrstat:level-10-count	846444289
cpu:0:intrstat:level-10-time	6537902760843
cpu:0:intrstat:level-11-count	0
cpu:0:intrstat:level-11-time	0
cpu:0:intrstat:level-12-count	4
cpu:0:intrstat:level-12-time	166363
cpu:0:intrstat:level-13-count	311189
cpu:0:intrstat:level-13-time	218807019
cpu:0:intrstat:level-14-count	858448188
cpu:0:intrstat:level-14-time	4216362111494
cpu:0:intrstat:level-15-count	0
cpu:0:intrstat:level-15-time	0
cpu:0:intrstat:level-2-count	0
cpu:0:intrstat:level-2-time	0
cpu:0:intrstat:level-3-count	0
cpu:0:intrstat:level-3-time	0
cpu:0:intrstat:level-4-count	65089522
cpu:0:intrstat:level-4-time	556848559853
cpu:0:intrstat:level-5-count	11
cpu:0:intrstat:level-5-time	87571
cpu:0:intrstat:level-6-count	15
cpu:0:intrstat:level-6-time	472231
cpu:0:intrstat:level-7-count	0
cpu:0:intrstat:level-7-time	0
cpu:0:intrstat:level-8-count	0
cpu:0:intrstat:level-8-time	0
cpu:0:intrstat:level-9-count	2539589723
cpu:0:intrstat:level-9-time	4174845210930
cpu:0:intrstat:snaptime	8464512.3567392
cpu:0:sys:bawrite	829
cpu:0:sys:bread	830
cpu:0:sys:bwrite	5865
cpu:0:sys:canch	343
cpu:0:sys:class	misc
cpu:0:sys:cpu_load_intr	52
cpu:0:sys:cpu_nsec_idle	8412812345501659
cpu:0:sys:cpu_nsec_intr	3242042018128600
cpu:0:sys:cpu_nsec_kernel	35851385881471
cpu:0:sys:cpu_nsec_user	15785939451470
cpu:0:sys:cpu_ticks_idle	841281234
cpu:0:sys:cpu_ticks_kernel	3585138
cpu:0:sys:cpu_ticks_user	1578593
cpu:0:sys:cpu_ticks_wait	0
cpu:0:sys:cpumigrate	16737418
cpu:0:sys:crtime	82.7665792
cpu:0:sys:idlethread	271360429
cpu:0:sys:intr	5364515047
cpu:0:sys:intrblk	9412
cpu:0:sys:intrthread	4505755666
cpu:0:sys:inv_swtch	784638
cpu:0:sys:iowait	0
cpu:0:sys:lread	294769
cpu:0:sys:lwrite	29973
cpu:0:sys:mdmint	0
cpu:0:sys:modload	119
cpu:0:sys:modunload	0
cpu:0:sys:msg	0
cpu:0:sys:mutex_adenters	1063657
cpu:0:sys:namei	12640989
cpu:0:sys:nthreads	223821
cpu:0:sys:outch	2577554
cpu:0:sys:phread	175
cpu:0:sys:phwrite	0
cpu:0:sys:procovf	0
cpu:0:sys:pswitch	554310394
cpu:0:sys:rawch	10538
cpu:0:sys:rcvint	0
cpu:0:sys:readch	1430464179
cpu:0:sys:rw_rdfails	51
cpu:0:sys:rw_wrfails	124
cpu:0:sys:sema	0
cpu:0:sys:snaptime	8464512.3585422
cpu:0:sys:syscall	142365970
cpu:0:sys:sysexec	14286
cpu:0:sys:sysfork	89080
cpu:0:sys:sysread	15368158
cpu:0:sys:sysvfork	916
cpu:0:sys:syswrite	8209071
cpu:0:sys:trap	42200687
cpu:0:sys:ufsdirblk	22122
cpu:0:sys:ufsiget	17640
cpu:0:sys:ufsinopage	0
cpu:0:sys:ufsipage	0
cpu:0:sys:wait_ticks_io	0
cpu:0:sys:writech	736780774
cpu:0:sys:xcalls	63577549
cpu:0:sys:xmtint	0
cpu:0:vm:anonfree	0
cpu:0:vm:anonpgin	0
cpu:0:vm:anonpgout	0
cpu:0:vm:as_fault	26791736
cpu:0:vm:class	misc
cpu:0:vm:cow_fault	15493953
cpu:0:vm:crtime	82.7665992
cpu:0:vm:dfree	6678
cpu:0:vm:execfree	1
cpu:0:vm:execpgin	6526
cpu:0:vm:execpgout	1
cpu:0:vm:fsfree	6677
cpu:0:vm:fspgin	21632
cpu:0:vm:fspgout	8348
cpu:0:vm:hat_fault	0
cpu:0:vm:kernel_asflt	0
cpu:0:vm:maj_fault	12471
cpu:0:vm:pgfrec	569757
cpu:0:vm:pgin	13549
cpu:0:vm:pgout	5567
cpu:0:vm:pgpgin	28158
cpu:0:vm:pgpgout	8349
cpu:0:vm:pgrec	571428
cpu:0:vm:pgrrun	0
cpu:0:vm:pgswapin	0
cpu:0:vm:pgswapout	0
cpu:0:vm:prot_fault	14402980
cpu:0:vm:rev	0
cpu:0:vm:scan	0
cpu:0:vm:snaptime	8464512.3614326
cpu:0:vm:softlock	3480
cpu:0:vm:swapin	0
cpu:0:vm:swapout	0
cpu:0:vm:zfod	1049715
cpu:1:intrstat:class	misc
cpu:1:intrstat:crtime	85.1925
cpu:1:intrstat:level-1-count	858452491
cpu:1:intrstat:level-1-time	4588436286322
cpu:1:intrstat:level-10-count	3
cpu:1:intrstat:level-10-time	4927
cpu:1:intrstat:level-11-count	0
cpu:1:intrstat:level-11-time	0
cpu:1:intrstat:level-12-count	0
cpu:1:intrstat:level-12-time	0
cpu:1:intrstat:level-13-count	1369449
cpu:1:intrstat:level-13-time	920443404
cpu:1:intrstat:level-14-count	866910705
cpu:1:intrstat:level-14-time	1864107874414
cpu:1:intrstat:level-15-count	0
cpu:1:intrstat:level-15-time	0
cpu:1:intrstat:level-2-count	0
cpu:1:intrstat:level-2-time	0
cpu:1:intrstat:level-3-count	0
cpu:1:intrstat:level-3-time	0
cpu:1:intrstat:level-4-count	1823
cpu:1:intrstat:level-4-time	63267778
cpu:1:intrstat:level-5-count	0
cpu:1:intrstat:level-5-time	0
cpu:1:intrstat:level-6-count	51714075
cpu:1:intrstat:level-6-time	828236173900
cpu:1:intrstat:level-7-count	0
cpu:1:intrstat:level-7-time	0
cpu:1:intrstat:level-8-count	0
cpu:1:intrstat:level-8-time	0
cpu:1:intrstat:level-9-count	2539328135
cpu:1:intrstat:level-9-time	4608974912542
cpu:1:intrstat:snaptime	8464512.3631614
cpu:1:sys:bawrite	6045
cpu:1:sys:bread	788
cpu:1:sys:bwrite	18856
cpu:1:sys:canch	195
cpu:1:sys:class	misc
cpu:1:sys:cpu_load_intr	55
cpu:1:sys:cpu_nsec_idle	8398320186364915
cpu:1:sys:cpu_nsec_intr	1783610242822200
cpu:1:sys:cpu_nsec_kernel	55211362247994
cpu:1:sys:cpu_nsec_user	10895625900891
cpu:1:sys:cpu_ticks_idle	839832018
cpu:1:sys:cpu_ticks_kernel	5521136
cpu:1:sys:cpu_ticks_user	1089562
cpu:1:sys:cpu_ticks_wait	0
cpu:1:sys:cpumigrate	16614511
cpu:1:sys:crtime	85.192457
cpu:1:sys:idlethread	303851394
cpu:1:sys:intr	4317776681
cpu:1:sys:intrblk	548
cpu:1:sys:intrthread	3449496527
cpu:1:sys:inv_swtch	961705
cpu:1:sys:iowait	0
cpu:1:sys:lread	457212
cpu:1:sys:lwrite	39350
cpu:1:sys:mdmint	0
cpu:1:sys:modload	57
cpu:1:sys:modunload	0
cpu:1:sys:msg	0
cpu:1:sys:mutex_adenters	874201
cpu:1:sys:namei	16115653
cpu:1:sys:nthreads	349857
cpu:1:sys:outch	1563962
cpu:1:sys:phread	104
cpu:1:sys:phwrite	0
cpu:1:sys:procovf	0
cpu:1:sys:pswitch	625354454
cpu:1:sys:rawch	13789
cpu:1:sys:rcvint	0
cpu:1:sys:readch	1034305088
cpu:1:sys:rw_rdfails	58
cpu:1:sys:rw_wrfails	90
cpu:1:sys:sema	0
cpu:1:sys:snaptime	8464512.3647716
cpu:1:sys:syscall	222830456
cpu:1:sys:sysexec	13152
cpu:1:sys:sysfork	124146
cpu:1:sys:sysread	12537231
cpu:1:sys:sysvfork	784
cpu:1:sys:syswrite	11551411
cpu:1:sys:trap	19590968
cpu:1:sys:ufsdirblk	26374
cpu:1:sys:ufsiget	20822
cpu:1:sys:ufsinopage	0
cpu:1:sys:ufsipage	0
cpu:1:sys:wait_ticks_io	0
cpu:1:sys:writech	872522029
cpu:1:sys:xcalls	69038456
cpu:1:sys:xmtint	0
cpu:1:vm:anonfree	0
cpu:1:vm:anonpgin	0
cpu:1:vm:anonpgout	0
cpu:1:vm:as_fault	12642751
cpu:1:vm:class	misc
cpu:1:vm:cow_fault	6104716
cpu:1:vm:crtime	85.1924764
cpu:1:vm:dfree	0
